item_id,order_id,product_id,quantity,unit_price,discount_percent
I0000001,O000001,P0094,4,54269.16,15.28
I0000002,O000001,P0383,5,3527.61,40.38
I0000003,O000001,P0318,4,13359.43,39.28
I0000004,O000002,P0469,4,1732.91,27.58
I0000005,O000002,P0124,2,56687.97,14.03
I0000006,O000002,P0128,2,4540.37,36.68
I0000007,O000002,P0012,1,73686.16,42.48
I0000008,O000003,P0213,5,1961.78,18.29
I0000009,O000003,P0041,2,119078.32,42.86
I0000010,O000003,P0166,2,908.94,19.84
I0000011,O000003,P0205,-5,8932.76,48.2
I0000012,O000003,P0227,5,2971.25,7.02
I0000013,O000004,P0010,2,75852.32,13.22
I0000014,O000005,P0327,1,29790.68,35.19
I0000015,O000006,P0274,5,17910.0,25.83
I0000016,O000006,P0399,4,2974.09,20.29
I0000017,O000006,P0131,3,3852.27,30.21
I0000018,O000007,P0202,2,1351.99,5.92
I0000019,O000007,P0478,2,3113.55,5.67
I0000020,O000008,P0380,5,2347.42,25.63
I0000021,O000008,P0395,5,2916.48,46.12
I0000022,O000009,P0208,2,5291.63,43.37
I0000023,O000010,P0134,3,4964.58,3.44
I0000024,O000010,P0367,4,23171.89,10.12
I0000025,O000011,P0076,5,52160.09,32.97
I0000026,O000011,P0430,5,2566.35,46.89
I0000027,O000011,P0141,4,10411.48,2.17
I0000028,O000011,P0007,5,115191.52,24.11
I0000029,O000011,P0124,4,76364.2,45.39
I0000030,O000012,P0072,5,125124.13,9.45
I0000031,O000012,P0288,1,13668.24,0.36
I0000032,O000012,P0167,2,10581.49,18.11
I0000033,O000013,P0301,2,36333.68,24.12
I0000034,O000013,P0308,3,4331.18,49.43
I0000035,O000013,P0131,5,4198.97,36.79
I0000036,O000013,P0062,1,96656.58,34.97
I0000037,O000014,P0196,4,7464.04,4.55
I0000038,O000014,P0041,2,119567.8,4.41
I0000039,O000015,P0482,1,3891.44,32.01
I0000040,O000015,P0330,-4,41354.14,46.54
I0000041,O000015,P0495,5,2642.61,29.98
I0000042,O000015,P0406,5,1751.08,33.7
I0000043,O000015,P0295,3,10002.07,7.87
I0000044,O000016,P0302,5,16782.6,45.75
I0000045,O000017,P0200,2,9950.99,3.62
I0000046,O000017,P0125,3,37136.79,25.66
I0000047,O000017,P0351,3,37766.01,28.74
I0000048,O000018,P0345,5,32538.76,12.89
I0000049,O000018,P0094,4,62106.79,33.85
I0000050,O000018,P0026,2,121911.74,17.65
I0000051,O000018,P0493,-5,1931.57,12.41
I0000052,O000019,P0293,3,5917.79,46.51
I0000053,O000019,P0283,2,6693.07,36.77
I0000054,O000019,P0352,3,6500.9,12.48
I0000055,O000019,P0067,5,77608.58,5.99
I0000056,O000019,P0224,1,11646.75,30.69
I0000057,O000020,P0344,2,28927.34,14.01
I0000058,O000020,P0136,2,3210.28,26.29
I0000059,O000020,P0391,4,3657.11,25.12
I0000060,O000020,P0430,4,3559.83,22.86
I0000061,O000021,P0466,3,2362.52,27.43
I0000062,O000021,P0327,2,37923.33,17.15
I0000063,O000021,P0415,2,2694.43,35.04
I0000064,O000022,P0475,3,960.77,42.82
I0000065,O000023,P0027,3,27860.7,2.39
I0000066,O000023,P0397,1,1651.35,40.69
I0000067,O000023,P0375,4,3740.65,37.23
I0000068,O000023,P0478,3,3421.03,46.59
I0000069,O000024,P0095,3,93697.89,38.74
I0000070,O000024,P0249,4,9011.52,14.33
I0000071,O000024,P0397,2,2116.72,46.43
I0000072,O000025,P0340,3,32086.08,30.27
I0000073,O000025,P0172,4,7185.48,43.14
I0000074,O000025,P0440,3,3717.88,22.51
I0000075,O000026,P0182,2,1151.45,46.84
I0000076,O000026,P0093,4,140595.58,19.85
I0000077,O000027,P0292,2,6490.07,31.32
I0000078,O000027,P0108,2,149698.24,1.76
I0000079,O000027,P0111,3,92515.27,23.81
I0000080,O000028,P0402,5,2359.95,43.86
I0000081,O000028,P0233,4,6489.49,15.48
I0000082,O000028,P0136,3,3359.44,4.48
I0000083,O000028,P0188,3,4910.9,15.18
I0000084,O000028,P0068,1,108063.35,6.82
I0000085,O000029,P0195,3,13396.63,27.41
I0000086,O000029,P0390,2,2677.14,19.74
I0000087,O000029,P0131,2,4106.61,41.42
I0000088,O000029,P0133,2,1741.92,11.98
I0000089,O000030,P0453,2,365.56,14.48
I0000090,O000030,P0449,4,2609.13,31.14
I0000091,O000030,P0249,2,8145.13,48.49
I0000092,O000030,P0206,1,4745.72,13.46
I0000093,O000031,P0359,4,28149.23,39.57
I0000094,O000031,P0079,3,146338.44,7.3
I0000095,O000031,P0167,3,9464.28,23.51
I0000096,O000032,P0367,4,32908.1,9.96
I0000097,O000032,P0183,1,4318.17,23.64
I0000098,O000032,P0145,3,7483.14,36.41
I0000099,O000032,P0232,5,8735.67,31.93
I0000100,O000033,P0123,3,111649.54,12.15
I0000101,O000033,P0324,1,1159.18,34.42
I0000102,O000034,P0334,3,31207.02,39.57
I0000103,O000035,P0094,1,48914.0,6.74
I0000104,O000035,P0353,1,36083.81,14.74
I0000105,O000036,P0196,5,8544.89,13.17
I0000106,O000037,P0407,2,461.49,48.36
I0000107,O000037,P0194,4,8323.97,38.29
I0000108,O000037,P0307,2,11313.28,32.05
I0000109,O000037,P0109,1,185381.15,2.19
I0000110,O000037,P0158,2,6093.89,5.35
I0000111,O000038,P0062,3,107372.75,0.65
I0000112,O000039,P0342,1,16360.27,2.03
I0000113,O000039,P0260,1,5751.61,10.8
I0000114,O000039,P0243,5,2560.2,26.58
I0000115,O000040,P0049,5,107793.69,33.26
I0000116,O000041,P0114,3,130760.82,42.24
I0000117,O000041,P0002,4,107991.79,36.29
I0000118,O000041,P0405,5,1236.11,18.75
I0000119,O000042,P0324,-5,919.79,44.52
I0000120,O000042,P0328,1,10535.14,42.79
I0000121,O000042,P0295,1,14717.67,41.12
I0000122,O000043,P0327,2,37040.13,12.49
I0000123,O000043,P0048,3,122090.97,19.99
