order_id,customer_id,order_date,status,region_code
O000001,C00339,2026-06-01 05:25:25,PLACED,SOUTH
O000002,C00730,2025-10-02 18:03:42,DELIVERED,WEST
O000003,,2026-03-01 03:36:08,CANCELLED,EAST
O000004,C00164,2026-02-13 07:05:28,DELIVERED,EAST
O000005,,2025-02-10 02:09:09,DELIVERED,WEST
O000006,C00534,2025-04-20 08:26:56,SHIPPED,WEST
O000007,C00514,2025-10-06 14:24:23,SHIPPED,SOUTH
O000008,C00692,2025-02-14 03:21:00,PLACED,NORTH
O000009,C00530,2026-03-19 03:50:20,DELIVERED,EAST
O000010,C00175,2025-09-07 04:20:09,DELIVERED,EAST
O000011,C00881,2026-06-13 23:02:28,SHIPPED,NORTH
O000012,C00858,2024-10-21 22:18:35,SHIPPED,NORTH
O000013,C00159,2026-03-04 17:27:13,DELIVERED,EAST
O000014,C00166,2025-12-15 22:00:40,DELIVERED,NORTH
O000015,C00270,2024-10-03 04:13:05,RETURNED,EAST
O000016,C00283,2025-07-10 06:35:44,DELIVERED,NORTH
O000017,C00357,2025-04-22 16:48:31,DELIVERED,NORTH
O000018,C00711,2025-08-04 03:41:08,DELIVERED,WEST
O000019,C00096,2025-06-28 11:46:18,SHIPPED,SOUTH
O000020,C00783,2024-08-26 00:33:58,CANCELLED,EAST
O000021,C00124,27-10-2025 19:54:19,SHIPPED,NORTH
O000022,C00382,2025-08-27 17:38:30,RETURNED,SOUTH
O000023,C00201,2024-12-14 01:01:19,DELIVERED,EAST
O000024,C00264,2025-09-07 12:33:14,DELIVERED,SOUTH
O000025,C00432,2026-02-18 22:05:17,SHIPPED,SOUTH
O000026,C00172,2024-08-05 13:56:34,CANCELLED,NORTH
O000027,C00784,2024-10-27 17:49:28,CANCELLED,WEST
O000028,C00999,2025-04-18 02:38:27,DELIVERED,SOUTH
O000029,C00294,2024-07-22 08:09:50,DELIVERED,NORTH
O000030,C00783,2026-04-02 07:53:36,DELIVERED,EAST
O000031,C00733,21-07-2024 16:15:28,SHIPPED,WEST
O000032,C00197,2025-03-26 22:03:19,DELIVERED,SOUTH
O000033,C00204,2024-09-05 06:23:26,DELIVERED,NORTH
O000034,C00159,2024-10-12 16:20:50,DELIVERED,NORTH
O000035,C00129,2025-06-03 03:01:00,DELIVERED,WEST
O000036,C00714,2026-02-13 14:44:41,DELIVERED,SOUTH
O000037,C00376,2026-04-28 01:35:05,PLACED,EAST
O000038,C00197,2026-02-18 06:03:43,DELIVERED,EAST
O000039,C00944,2025-11-28 11:40:10,DELIVERED,WEST
O000040,C00195,2026-05-16 16:46:59,DELIVERED,WEST
O000041,C00905,2025-01-14 02:35:51,SHIPPED,WEST
O000042,C00564,2025-03-30 20:38:47,PLACED,NORTH
O000043,C00942,2026-02-03 04:09:55,PLACED,EAST
O000044,C00940,2024-10-01 08:31:09,DELIVERED,NORTH
O000045,C00579,2025-12-10 07:24:28,DELIVERED,WEST
O000046,C00573,2025-08-22 05:46:31,RETURNED,SOUTH
O000047,C00357,2025-07-01 04:51:20,SHIPPED,EAST
O000048,C00758,2025-02-07 02:44:07,DELIVERED,SOUTH
O000049,C00175,2025-02-04 07:49:36,DELIVERED,NORTH
O000050,C00369,2024-08-01 19:06:15,SHIPPED,WEST
O000051,C00514,2024-09-15 05:27:15,RETURNED,NORTH
O000052,C00595,2025-02-05 13:30:03,DELIVERED,SOUTH
O000053,C00454,2026-04-27 08:27:28,PLACED,SOUTH
O000054,C00611,2026-06-16 09:32:24,DELIVERED,WEST
O000055,C00208,2024-09-18 15:09:47,DELIVERED,EAST
O000056,C00044,2025-03-22 01:44:44,PLACED,WEST
O000057,C00424,2024-08-07 14:39:56,CANCELLED,WEST
O000058,C00168,2024-11-16 11:18:04,DELIVERED,WEST
O000059,C00984,2026-04-11 17:10:48,DELIVERED,NORTH
O000060,C00618,2024-10-10 10:16:45,SHIPPED,EAST
O000061,C00538,2025-02-13 04:13:25,RETURNED,NORTH
O000062,C00905,2026-07-08 18:22:19,DELIVERED,NORTH
O000063,C00707,2024-09-20 18:29:51,DELIVERED,NORTH
O000064,C00494,2025-10-28 03:07:40,DELIVERED,NORTH
O000065,C00802,2026-07-05 19:55:21,PLACED,SOUTH
O000066,C00513,2025-06-27 00:57:14,DELIVERED,SOUTH
O000067,C00471,2025-12-29 12:10:38,DELIVERED,NORTH
O000068,C00327,2026-05-31 12:27:28,PLACED,NORTH
O000069,C00914,2025-10-10 10:18:20,DELIVERED,NORTH
O000070,C00582,2026-06-28 23:16:48,DELIVERED,WEST
O000071,C00867,2025-07-05 04:46:27,DELIVERED,NORTH
O000072,C00834,2025-09-27 22:47:09,DELIVERED,SOUTH
O000073,C00334,2025-10-11 14:29:44,PLACED,WEST
O000074,C00299,2026-02-24 23:22:32,SHIPPED,EAST
O000075,,2025-09-29 07:47:44,DELIVERED,WEST
O000076,C00907,2025-10-03 13:15:27,DELIVERED,WEST
O000077,C00116,2026-06-20 11:20:05,RETURNED,EAST
O000078,C00928,2025-06-17 22:33:10,SHIPPED,EAST
O000079,C00606,2026-05-18 23:34:10,DELIVERED,SOUTH
O000080,C00863,2026-05-01 17:59:11,SHIPPED,WEST
O000081,,2026-01-09 05:33:13,CANCELLED,EAST
O000082,C00185,2024-07-24 06:11:12,DELIVERED,NORTH
O000083,C00783,2026-02-12 15:07:26,SHIPPED,WEST
O000084,C00926,2025-06-09 17:21:08,DELIVERED,WEST
O000085,C00935,2025-04-04 12:12:23,DELIVERED,WEST
O000086,C00681,2024-12-16 07:32:16,PLACED,WEST
O000087,C00982,2025-07-23 03:04:40,DELIVERED,EAST
O000088,C00368,2026-04-21 23:57:31,SHIPPED,SOUTH
O000089,C00536,2026-06-08 02:20:06,CANCELLED,NORTH
O000090,,2025-05-23 12:39:58,DELIVERED,NORTH
O000091,C00208,2026-06-07 21:30:26,DELIVERED,SOUTH
O000092,C00042,2026-04-22 04:35:08,CANCELLED,NORTH
O000093,C00909,2026-06-24 00:54:27,DELIVERED,WEST
O000094,C00884,2026-01-17 01:24:48,DELIVERED,EAST
O000095,C00934,2025-01-09 14:53:18,DELIVERED,EAST
O000096,C00181,2024-08-12 00:42:26,SHIPPED,WEST
O000097,C00397,2025-10-25 08:22:59,SHIPPED,EAST
O000098,C00908,2024-12-21 05:50:16,RETURNED,SOUTH
O000099,C00606,2025-10-29 17:11:05,CANCELLED,SOUTH
O000100,C00035,2025-08-21 01:02:10,PLACED,WEST
O000101,,2026-05-29 18:21:04,DELIVERED,NORTH
O000102,C00556,2025-02-11 06:15:58,DELIVERED,NORTH
O000103,C00780,2025-07-09 17:43:02,PLACED,EAST
O000104,C00964,2025-01-21 23:15:24,SHIPPED,NORTH
O000105,C00896,2026-04-16 09:28:45,DELIVERED,SOUTH
O000106,C00562,2025-05-21 03:19:16,SHIPPED,EAST
O000107,C00947,2026-01-12 18:21:30,DELIVERED,SOUTH
O000108,C00036,2025-06-30 13:33:47,SHIPPED,EAST
O000109,C00470,2024-12-19 09:57:53,DELIVERED,EAST
O000110,C00633,2025-10-12 20:15:39,DELIVERED,SOUTH
O000111,C00370,23-09-2025 20:34:42,DELIVERED,EAST
O000112,C00889,2025-06-21 12:09:56,PLACED,WEST
O000113,C00312,30-10-2025 16:12:09,SHIPPED,WEST
O000114,,2025-04-23 00:14:57,DELIVERED,WEST
O000115,C00168,2025-07-17 22:51:17,PLACED,EAST
O000116,C00422,2024-12-26 12:23:28,DELIVERED,NORTH
O000117,C00122,2026-06-23 13:54:33,SHIPPED,NORTH
O000118,C00127,2025-02-09 04:07:31,DELIVERED,NORTH
O000119,C00070,2026-02-25 09:43:32,RETURNED,SOUTH
O000120,C00113,2025-12-02 20:55:37,PLACED,EAST
O000121,C00691,2024-10-28 21:38:52,PLACED,SOUTH
O000122,C00596,2026-05-03 21:32:49,RETURNED,WEST
O000123,C00677,2025-11-29 23:22:37,DELIVERED,EAST
O000124,C00500,2026-02-16 06:42:01,DELIVERED,WEST
O000125,C00913,2025-08-06 12:37:41,DELIVERED,NORTH
O000126,C00552,2025-10-28 07:05:46,CANCELLED,EAST
O000127,C00400,2024-10-22 00:17:03,DELIVERED,EAST
O000128,C00049,2026-02-20 22:01:33,RETURNED,NORTH
O000129,C00643,2025-01-21 03:41:32,DELIVERED,WEST
O000130,C00308,2025-09-06 20:06:12,DELIVERED,WEST
O000131,C00663,2025-02-04 14:27:27,DELIVERED,EAST
O000132,C00124,2026-02-28 01:26:50,SHIPPED,NORTH
O000133,C00604,2026-01-10 20:54:26,DELIVERED,SOUTH
O000134,C00566,2026-04-29 07:34:16,SHIPPED,SOUTH
O000135,C00035,2024-10-04 00:41:06,DELIVERED,WEST
O000136,C00617,2026-01-25 08:30:48,DELIVERED,SOUTH
O000137,C00178,2025-06-13 18:22:24,SHIPPED,WEST
O000138,C00539,2025-10-21 06:41:26,SHIPPED,EAST
O000139,C01000,2026-04-07 00:08:34,DELIVERED,WEST
O000140,C00408,2026-07-13 21:55:46,SHIPPED,NORTH
O000141,C00184,2025-12-11 01:09:40,SHIPPED,EAST
O000142,C00783,2026-02-03 06:51:10,SHIPPED,NORTH
O000143,C00453,2026-07-10 02:41:48,DELIVERED,SOUTH
O000144,C00173,2025-04-19 04:08:01,DELIVERED,NORTH
O000145,C00006,2024-08-27 05:49:47,DELIVERED,SOUTH
O000146,C00262,2025-08-25 11:12:13,DELIVERED,WEST
O000147,C00907,2025-04-14 03:48:46,DELIVERED,EAST
O000148,C00308,2025-12-30 22:28:55,PLACED,NORTH
O000149,C00461,2025-04-10 20:09:14,SHIPPED,NORTH
O000150,C00405,2024-10-10 13:18:19,DELIVERED,SOUTH
O000151,C00863,2026-01-15 15:15:38,SHIPPED,WEST
O000152,C00987,2024-08-02 23:47:34,DELIVERED,WEST
O000153,C00426,2026-02-26 04:56:54,PLACED,WEST
O000154,C00662,2026-06-27 22:11:29,SHIPPED,EAST
O000155,C00637,2026-06-21 08:16:01,SHIPPED,SOUTH
O000156,C00349,2024-08-30 02:28:16,DELIVERED,NORTH
O000157,C00999,2026-03-31 05:01:13,DELIVERED,NORTH
O000158,C00855,2025-06-27 18:42:29,DELIVERED,WEST
