product_id,product_name,category,subcategory,cost_price
P0001,lenovo thinkpad,Electronics,Laptop,46577.32
P0002,MacBook Air M3,Electronics,Mobile,74050.52
P0003,  Apple Watch  ,Electronics,Laptop,55784.0
P0004,SONY HEADPHONES,Electronics,Mobile,111833.74
P0005,LOGITECH MOUSE,Electronics,Laptop,20411.35
P0006,  Apple Watch  ,Electronics,Mobile,106730.15
P0007,Dell Inspiron,Electronics,Laptop,65336.39
P0008,logitech mouse,Electronics,Mobile,37239.82
P0009,Dell Inspiron,Electronics,Mobile,93422.32
P0010,HP Pavilion,Electronics,Laptop,56646.37
P0011,  Dell Inspiron  ,Electronics,Accessories,54969.48
P0012,  Lenovo ThinkPad  ,Electronics,Accessories,42463.97
P0013,Lenovo ThinkPad,Electronics,Tablet,25353.86
P0014,HP Pavilion,Electronics,Accessories,111004.7
P0015,logitech mouse,Electronics,Mobile,74065.1
P0016,  Dell Inspiron  ,Electronics,Mobile,42381.28
P0017,  Boat Earbuds  ,Electronics,Tablet,45995.19
P0018,dell inspiron,Electronics,Tablet,74827.9
P0019,dell inspiron,Electronics,Accessories,42019.31
P0020,HP Pavilion,Electronics,Tablet,63387.04
P0021,LOGITECH MOUSE,Electronics,Tablet,34325.02
P0022,Lenovo ThinkPad,Electronics,Mobile,70014.16
P0023,Samsung Galaxy S24,Electronics,Mobile,95255.58
P0024,APPLE WATCH,Electronics,Laptop,22136.63
P0025,MACBOOK AIR M3,Electronics,Tablet,54186.07
P0026,  Boat Earbuds  ,Electronics,Tablet,84224.86
P0027,IPHONE 15,Electronics,Tablet,16244.35
P0028,  Lenovo ThinkPad  ,Electronics,Accessories,16799.97
P0029,Apple Watch,Electronics,Laptop,26236.73
P0030,  Samsung Galaxy S24  ,Electronics,Laptop,35152.87
P0031,lenovo thinkpad,Electronics,Accessories,43069.1
P0032,APPLE WATCH,Electronics,Tablet,63194.76
P0033,Dell Inspiron,Electronics,Laptop,46497.34
P0034,  Samsung Galaxy S24  ,Electronics,Mobile,24817.55
P0035,apple watch,Electronics,Tablet,20892.07
P0036,  iPhone 15  ,Electronics,Mobile,67485.13
P0037,  Apple Watch  ,Electronics,Accessories,74414.95
